code,nr,gebied,gebiednaam,provincie,WOZ,stedelijkheid,OAD,ligging,abw_totaal,abw_vrijst,abw_tweekap,abw_rijwoni,abw_meergez_laagb,abw_meergez_hoogb,abw_koop,abw_soc_huur,abw_part_huur,abw_1_pers,abw_2_pers,abw_3_pers,aapbw_totaal,aapbw_koop_vrijst,aapbw_koop_tweekap,aapbw_koop_rijwoni,aapbw_koop_meergez_laagb,aapbw_koop_meergez_hoogb,aapbw_soc_huur_vrijst,aapbw_soc_huur_tweekap,aapbw_soc_huur_rijwoni,aapbw_soc_huur_meergez_laagb,aapbw_soc_huur_meergez_hoogb,aapbw_part_huur_vrijst,aapbw_part_huur_tweekap,aapbw_part_huur_rijwoni,aapbw_part_meergez_laagb,aapbw_part_meergez_hoogb
GM0203,50,gemeente,Barneveld,,294,4,876,,22100,0.239,0.114,0.476,0.164,0.006,0.684,0.196,0.121,0.267,0.321,0.412,1.5,2.1,1.8,1.6,1.0,1.0,0.9,1.3,1.0,0.5,0.5,1.6,1.4,1.2,0.6,0.6
GM0209,51,gemeente,Beuningen,,251,4,996,,11100,0.198,0.140,0.518,0.137,0.007,0.699,0.229,0.072,0.274,0.374,0.352,1.4,1.9,1.7,1.5,1.0,1.0,,1.0,0.9,0.6,0.6,1.7,1.3,1.1,0.7,0.7
GM0213,52,gemeente,Brummen,,255,4,763,,9100,0.252,0.173,0.475,0.100,0.000,0.623,0.319,0.059,0.292,0.399,0.310,1.4,1.8,1.7,1.5,1.1,1.1,,1.2,1.0,0.4,0.4,1.4,1.3,1.1,0.5,0.5
GM0214,53,gemeente,Buren,,301,5,288,,10800,0.407,0.168,0.375,0.050,0.000,0.752,0.202,0.046,0.233,0.391,0.376,1.7,2.1,1.8,1.7,1.3,1.3,,0.9,1.0,0.7,0.7,1.8,1.1,1.2,1.4,1.4
GM0216,54,gemeente,Culemborg,,235,3,1463,,12400,0.082,0.084,0.604,0.195,0.036,0.642,0.273,0.086,0.316,0.339,0.345,1.2,1.8,1.6,1.4,1.0,1.0,,0.8,0.9,0.5,0.5,1.9,1.1,1.1,0.5,0.5
GM0221,55,gemeente,Doesburg,,198,4,860,,5200,0.084,0.090,0.618,0.178,0.029,0.532,0.395,0.074,0.348,0.373,0.279,1.2,1.8,1.6,1.5,1.1,1.1,,0.9,0.9,0.5,0.5,1.7,,0.9,0.7,0.7
GM0222,56,gemeente,Doetinchem,,208,3,1137,,25500,0.179,0.138,0.462,0.188,0.034,0.604,0.297,0.099,0.335,0.351,0.314,1.2,1.7,1.6,1.4,1.1,1.1,1.0,1.0,0.8,0.5,0.5,1.6,1.1,1.1,0.6,0.6
GM0225,57,gemeente,Druten,,238,4,805,,7900,0.232,0.151,0.467,0.134,0.016,0.661,0.243,0.095,0.269,0.371,0.360,1.4,1.9,1.7,1.6,1.0,1.0,,1.0,0.9,0.6,0.5,1.3,1.3,1.2,0.5,0.6
GM0226,58,gemeente,Duiven,,223,3,1157,,10600,0.139,0.104,0.630,0.127,0.000,0.672,0.268,0.060,0.270,0.372,0.358,1.3,1.9,1.7,1.5,1.0,1.0,,0.9,0.9,0.5,0.5,1.5,1.7,1.2,0.8,0.8
GM0228,59,gemeente,Ede,,263,2,1553,,47200,0.189,0.100,0.428,0.213,0.071,0.671,0.213,0.116,0.302,0.336,0.362,1.3,2.0,1.6,1.4,1.0,1.0,0.6,0.9,0.9,0.5,0.5,1.6,1.2,1.2,0.7,0.7
GM0230,60,gemeente,Elburg,,250,4,671,,9200,0.220,0.131,0.538,0.111,0.000,0.651,0.269,0.080,0.268,0.348,0.384,1.4,1.9,1.7,1.5,1.2,1.2,,1.0,1.0,0.5,0.5,1.5,1.3,1.1,0.6,0.6
GM0232,61,gemeente,Epe,,287,4,747,,14200,0.336,0.099,0.391,0.158,0.016,0.651,0.280,0.069,0.298,0.377,0.326,1.4,1.9,1.7,1.4,1.0,1.0,,1.1,1.0,0.5,0.6,1.5,1.2,1.1,0.7,0.7
GM0233,62,gemeente,Ermelo,,297,4,896,,11100,0.244,0.124,0.435,0.189,0.007,0.643,0.256,0.100,0.312,0.351,0.337,1.3,1.9,1.6,1.5,1.0,1.0,,1.1,1.0,0.6,0.6,1.4,1.1,1.0,0.7,0.7
GM0243,63,gemeente,Harderwijk,,258,2,1530,,20100,0.090,0.062,0.553,0.259,0.036,0.602,0.299,0.099,0.306,0.333,0.361,1.2,1.9,1.6,1.5,1.0,1.0,,1.0,0.9,0.5,0.5,1.3,1.5,1.2,0.8,0.8
GM0244,64,gemeente,Hattem,,282,4,831,,5200,0.271,0.128,0.462,0.139,0.000,0.676,0.267,0.057,0.292,0.360,0.348,1.3,1.7,1.6,1.4,1.0,1.0,1.0,1.1,1.0,0.5,0.5,1.1,0.9,0.8,0.7,0.7
GM0246,65,gemeente,Heerde,,275,4,611,,7700,0.419,0.158,0.307,0.112,0.004,0.694,0.240,0.066,0.261,0.391,0.348,1.4,1.8,1.7,1.5,0.9,0.9,0.5,1.1,1.0,0.4,0.4,1.4,1.1,1.1,1.0,1.0
GM0252,66,gemeente,Heumen,,280,4,798,,7100,0.244,0.158,0.437,0.161,0.000,0.727,0.193,0.080,0.294,0.372,0.334,1.3,1.8,1.6,1.4,1.0,1.0,0.6,0.9,1.0,0.6,0.6,1.4,1.1,1.0,0.7,0.7
GM0262,67,gemeente,Lochem,,303,4,588,,14800,0.386,0.160,0.340,0.113,0.001,0.711,0.193,0.096,0.302,0.397,0.300,1.4,1.8,1.6,1.5,1.1,1.1,1.1,0.9,0.9,0.6,0.6,1.4,1.2,1.0,0.7,0.7
GM0263,68,gemeente,Maasdriel,,271,5,487,,10000,0.359,0.174,0.393,0.074,0.000,0.715,0.215,0.071,0.247,0.368,0.385,1.6,2.0,1.8,1.6,1.3,1.3,1.6,1.0,1.0,0.6,0.6,1.5,1.0,1.2,1.0,1.0
GM0267,69,gemeente,Nijkerk,,307,3,1117,,17100,0.175,0.106,0.569,0.127,0.023,0.707,0.232,0.062,0.264,0.342,0.394,1.4,2.0,1.7,1.5,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.4,1.4,1.1,0.8,0.7
GM0268,70,gemeente,Nijmegen,,233,2,2401,,79800,0.029,0.039,0.499,0.307,0.126,0.441,0.402,0.157,0.398,0.313,0.288,0.9,1.7,1.4,1.3,1.0,1.0,1.4,0.8,0.8,0.5,0.5,2.2,1.0,1.0,0.6,0.6
GM0269,71,gemeente,Oldebroek,,262,4,641,,9100,0.345,0.168,0.408,0.080,0.000,0.692,0.234,0.074,0.239,0.358,0.404,1.4,1.9,1.6,1.5,1.2,1.2,,1.1,0.9,0.5,0.5,1.5,1.3,1.2,0.8,0.8
GM0273,72,gemeente,Putten,,330,4,902,,9500,0.325,0.159,0.394,0.122,0.000,0.679,0.223,0.098,0.257,0.361,0.382,1.5,1.9,1.7,1.5,0.9,0.9,,1.0,1.1,0.6,0.6,1.4,1.3,1.1,0.6,0.6
GM0274,73,gemeente,Renkum,,278,4,914,,14400,0.189,0.212,0.332,0.162,0.105,0.641,0.218,0.141,0.354,0.379,0.267,1.3,1.8,1.5,1.4,1.1,1.1,0.7,0.8,0.9,0.6,0.6,1.6,1.0,1.1,0.6,0.7
GM0275,74,gemeente,Rheden,,219,3,1451,,20400,0.101,0.201,0.456,0.183,0.060,0.563,0.299,0.137,0.376,0.355,0.269,1.1,1.8,1.5,1.4,1.0,1.0,1.3,0.8,0.8,0.5,0.5,1.4,1.0,1.0,0.5,0.5
GM0277,75,gemeente,Rozendaal,,492,4,941,,700,0.333,0.341,0.326,0.000,0.000,0.895,0.068,0.038,0.187,0.425,0.388,1.7,2.0,1.6,1.6,,,,0.8,1.0,,,1.5,,,,
GM0279,76,gemeente,Scherpenzeel,,277,4,921,,3900,0.164,0.176,0.526,0.134,0.000,0.731,0.178,0.091,0.270,0.347,0.383,1.4,1.9,1.7,1.6,1.1,1.1,,1.1,0.9,0.5,0.5,1.4,1.3,1.4,0.9,0.9
GM0281,77,gemeente,Tiel,,206,3,1418,,17800,0.095,0.084,0.575,0.209,0.037,0.573,0.353,0.075,0.321,0.335,0.344,1.2,1.9,1.6,1.5,1.1,1.1,1.0,1.1,1.0,0.6,0.6,1.6,1.1,1.0,0.7,0.7
GM0285,78,gemeente,Voorst,,299,4,583,,10100,0.370,0.175,0.341,0.111,0.003,0.688,0.245,0.068,0.264,0.396,0.339,1.4,1.8,1.6,1.5,1.1,1.1,,1.1,0.9,0.6,0.6,1.6,1.3,1.0,0.9,0.9
GM0289,79,gemeente,Wageningen,,225,2,2021,,17300,0.075,0.083,0.337,0.348,0.156,0.433,0.402,0.165,0.421,0.290,0.289,0.9,1.6,1.4,1.3,0.9,0.9,1.6,0.9,0.9,0.5,0.6,1.2,0.8,0.8,0.4,0.4
GM0293,80,gemeente,Westervoort,,201,3,1155,,6700,0.097,0.096,0.681,0.124,0.002,0.591,0.315,0.094,0.294,0.386,0.320,1.2,1.7,1.6,1.4,1.0,1.0,,1.0,0.9,0.5,0.5,1.4,0.9,1.1,0.7,0.7
GM0294,81,gemeente,Winterswijk,,192,3,1201,,12800,0.248,0.163,0.410,0.174,0.005,0.713,0.182,0.105,0.327,0.362,0.311,1.2,1.7,1.5,1.3,1.0,1.0,,0.5,0.6,0.4,0.4,1.3,1.1,0.9,0.7,0.7
GM0296,82,gemeente,Wijchen,,247,3,1232,,17700,0.174,0.124,0.535,0.164,0.003,0.681,0.254,0.065,0.297,0.364,0.339,1.3,1.9,1.6,1.5,1.1,1.1,,1.1,0.9,0.5,0.5,1.3,1.3,1.1,0.8,0.8
GM0297,83,gemeente,Zaltbommel,,252,4,684,,11300,0.282,0.129,0.481,0.108,0.000,0.678,0.242,0.080,0.263,0.352,0.385,1.5,2.0,1.8,1.5,1.2,1.2,,1.0,0.9,0.5,0.5,1.5,1.3,1.1,1.0,1.0
GM0299,84,gemeente,Zevenaar,,197,3,1043,,19600,0.171,0.126,0.539,0.160,0.003,0.638,0.292,0.070,0.317,0.380,0.303,1.3,1.8,1.6,1.4,1.0,1.0,0.9,1.0,0.9,0.5,0.5,1.4,1.1,1.0,0.7,0.7
GM0301,85,gemeente,Zutphen,,200,2,1643,,21800,0.069,0.083,0.549,0.234,0.064,0.569,0.320,0.112,0.376,0.338,0.286,1.1,1.7,1.5,1.3,1.0,1.0,1.0,0.7,0.8,0.5,0.5,1.4,1.0,0.9,0.6,0.6
GM0302,86,gemeente,Nunspeet,,286,4,790,,10900,0.281,0.165,0.429,0.122,0.004,0.660,0.246,0.094,0.278,0.346,0.376,1.4,1.9,1.7,1.5,1.0,1.0,1.1,1.2,1.0,0.6,0.6,1.4,1.2,1.0,0.7,0.7
GM0303,87,gemeente,Dronten,,218,4,767,,17000,0.219,0.106,0.562,0.109,0.004,0.683,0.259,0.058,0.268,0.373,0.359,1.4,1.9,1.7,1.6,1.1,1.1,,0.9,0.9,0.6,0.6,2.3,1.4,1.1,0.8,0.8
GM0307,88,gemeente,Amersfoort,,281,2,2298,,66500,0.039,0.064,0.548,0.248,0.102,0.591,0.295,0.114,0.330,0.316,0.354,1.1,1.8,1.6,1.4,1.0,1.0,0.7,0.8,0.9,0.5,0.5,2.0,1.2,1.1,0.7,0.7
GM0308,89,gemeente,Baarn,,329,2,1615,,11100,0.112,0.154,0.441,0.292,0.002,0.631,0.260,0.108,0.364,0.330,0.306,1.2,1.9,1.6,1.4,1.0,1.0,1.2,0.8,0.9,0.6,0.6,1.2,1.1,1.0,0.7,0.7
GM0310,90,gemeente,De Bilt,,395,3,1258,,19000,0.133,0.133,0.402,0.252,0.080,0.613,0.281,0.106,0.353,0.326,0.320,1.2,2.0,1.6,1.4,0.9,0.9,0.7,0.9,1.0,0.6,0.6,1.6,1.3,0.9,0.6,0.6
GM0312,91,gemeente,Bunnik,,346,4,659,,6300,0.117,0.156,0.587,0.140,0.000,0.757,0.157,0.086,0.277,0.355,0.367,1.3,1.9,1.5,1.3,0.9,0.9,0.7,0.5,0.9,0.6,0.6,1.5,1.2,1.1,0.7,0.7
