code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
GM0175;40;gemeente;Ommen;;254;4;502;;7400;39,0%;16,2%;30,5%;12,7%;1,6%;71,5%;18,6%;9,9%;28,7%;36,7%;34,6%;1,4;1,9;1,6;1,5;1,0;;1,1;1,2;0,9;0,5;0,3;1,5;1,1;1,2;0,9;0,9
GM0177;41;gemeente;Raalte;;245;4;663;;15700;29,9%;18,4%;41,7%;9,9%;0,1%;69,6%;24,0%;6,4%;27,7%;37,7%;34,6%;1,4;1,8;1,6;1,5;0,9;;;1,1;0,9;0,5;0,8;1,4;1,2;1,2;0,6;
GM0180;42;gemeente;Staphorst;;264;5;356;;5900;49,4%;22,5%;22,5%;5,6%;0,0%;77,6%;11,4%;11,0%;23,5%;30,7%;45,8%;1,7;2,1;1,8;1,7;1,3;;;1,0;1,0;0,5;;1,5;1,4;1,5;0,6;
GM0183;43;gemeente;Tubbergen;;269;5;289;;8200;53,6%;20,4%;17,4%;8,6%;0,0%;73,2%;12,9%;13,8%;24,9%;33,1%;42,0%;1,6;1,9;1,7;1,6;1,3;;;1,1;0,9;0,6;;1,6;1,4;1,2;0,7;
GM0184;44;gemeente;Urk;;223;3;1073;;6500;8,9%;15,1%;62,7%;13,1%;0,2%;78,4%;14,5%;7,1%;20,6%;23,9%;55,5%;1,2;1,6;1,4;1,3;0,9;1,2;;0,8;0,9;0,4;;1,4;1,0;1,1;0,4;
GM0189;45;gemeente;Wierden;;259;4;709;;9600;34,3%;22,8%;32,2%;10,4%;0,3%;73,9%;17,8%;8,3%;24,4%;36,0%;39,6%;1,5;2,0;1,6;1,5;1,1;1,3;;0,9;0,9;0,6;;1,4;1,2;1,3;0,9;
GM0193;46;gemeente;Zwolle;;232;2;2042;;57400;5,8%;4,7%;56,2%;23,2%;10,1%;53,8%;33,1%;13,0%;36,8%;32,1%;31,1%;1,0;1,7;1,5;1,3;1,0;1,0;1,0;0,8;0,8;0,4;0,4;1,3;0,9;0,9;0,6;0,7
GM0197;47;gemeente;Aalten;;206;4;776;;11700;29,8%;19,5%;38,0%;12,8%;0,0%;71,6%;19,6%;8,8%;30,8%;36,7%;32,5%;1,3;1,7;1,5;1,3;1,0;;;0,8;0,8;0,4;;1,2;1,1;1,0;0,5;
GM0200;48;gemeente;Apeldoorn;;243;2;1745;;71400;17,6%;10,8%;43,8%;20,0%;7,7%;61,0%;28,8%;10,2%;33,5%;35,2%;31,4%;1,2;1,8;1,6;1,4;1,0;1,0;0,6;1,0;0,8;0,5;0,5;1,6;1,2;1,0;0,6;0,7
GM0202;49;gemeente;Arnhem;;204;2;2205;;74300;3,1%;4,8%;46,1%;33,4%;12,6%;44,6%;36,3%;19,1%;40,7%;30,3%;29,0%;1,0;1,7;1,6;1,4;1,0;1,0;1,1;0,7;0,7;0,5;0,5;1,8;1,1;1,1;0,6;0,7
